outlet_id,outlet_code,outlet_name,legal_name,channel,outlet_format,city,state,region_id,pincode,latitude,longitude,route_id,salesperson_id,onboarded_date,credit_limit_inr,credit_terms_days,gst_number,storage_type,chiller_available,avg_monthly_footfall,contact_name,contact_phone,contact_email,last_audit_date,risk_flag,status,closed_date,is_deleted,created_at,updated_at
1,OUT00001,Anand Enterprises,,HORECA,CAFE,Guwahati,Assam,4,270904,29.596703,88.761554,132,91,2020-05-12,798000.0,14,06ABCDE1525F1Z0,AMBIENT,1,21009,Anil Dutta,9169852364,anil.dutta@example.com,2026-05-18,HIGH,ACTIVE,,0,2020-05-12 00:00:00,
2,OUT00002,Balaji Stores,,ECOM_DARKSTORE,DARKSTORE,Bangalore,Karnataka,2,202430,8.876569,77.158503,134,41,2022-12-19,160000.0,21,26ABCDE3911F1Z7,AMBIENT_CHILLED,0,3402,Farah Das,9168362521,,2026-03-14,LOW,ACTIVE,,0,2022-12-19 00:00:00,
3,OUT00003,Royal Supermarket,,GT,CHEMIST,Indore,Madhya Pradesh,5,114959,15.949353,77.831839,15,66,2024-07-19,612000.0,30,04ABCDE5571F1Z4,AMBIENT,1,9933,Ananya Reddy,9758056904,ananya.reddy@example.com,2025-03-16,MEDIUM,ACTIVE,,0,2024-07-19 00:00:00,
4,OUT00004,Sri Mart,,GT,CHEMIST,Gurugram,Haryana,3,525493,8.900343,88.278115,69,8,2022-07-06,160000.0,30,22ABCDE6663F1Z3,AMBIENT,0,15896,Vikram Chauhan,9718314897,vikram.chauhan@example.com,2026-05-13,MEDIUM,ACTIVE,,0,2022-07-06 00:00:00,
5,OUT00005,Nova Enterprises,,GT,GENERAL_STORE,Raipur,Chhattisgarh,5,175706,26.134764,73.981609,103,80,2020-02-11,429000.0,14,03ABCDE9696F1Z0,AMBIENT,1,11210,Suresh Reddy,9474772527,suresh.reddy@example.com,2026-01-12,HIGH,ACTIVE,,0,2020-02-11 00:00:00,
6,OUT00006,Shree Trading Co,,MT,MINI_MARKET,Pune,Maharashtra,1,367914,28.546438,74.710827,42,56,2022-04-24,514000.0,30,34ABCDE1539F1Z2,AMBIENT,0,15436,Vikram Bose,9397721451,vikram.bose@example.com,2025-01-02,LOW,ACTIVE,,0,2022-04-24 00:00:00,
7,OUT00007,Star Trading Co,,HORECA,CAFE,Chennai,Tamil Nadu,2,627825,14.11634,82.582933,71,77,2021-10-02,208000.0,30,07ABCDE4637F1Z2,AMBIENT,0,22975,Deepak Joshi,9657341377,deepak.joshi@example.com,2026-01-28,LOW,ACTIVE,,0,2021-10-02 00:00:00,
8,OUT00008,Sri Mart,,MT,SUPERMARKET,Indore,Madhya Pradesh,5,179705,29.197452,84.241861,64,48,2024-11-04,791000.0,30,37ABCDE3836F1Z8,AMBIENT,0,23051,Sanjay Dutta,9656832624,sanjay.dutta@example.com,2025-12-27,LOW,ACTIVE,,0,2024-11-04 00:00:00,
9,OUT00009,Anand Trading Co,,GT,CHEMIST,Kochi,Kerala,2,388510,29.890107,83.974157,74,75,2020-03-19,344000.0,7,11ABCDE1424F1Z0,AMBIENT,0,23123,Tara Chauhan,9646414391,tara.chauhan@example.com,2025-09-23,MEDIUM,DELETED,,1,2020-03-19 00:00:00,
10,OUT00010,Royal Enterprises,,GT,KIRANA,Hyderabad,Telangana,2,300700,32.440425,75.580308,67,61,2019-02-25,885000.0,14,23ABCDE2451F1Z6,AMBIENT_CHILLED,1,14314,Rahul Nair,9431117275,rahul.nair@example.com,2025-03-08,MEDIUM,ACTIVE,,0,2019-02-25 00:00:00,
11,OUT00011,Balaji Trading Co,,MT,SUPERMARKET,Bangalore,Karnataka,2,131397,19.611876,72.049621,102,77,2021-07-18,728000.0,45,12ABCDE9402F1Z3,AMBIENT,1,20451,Nisha Mehta,9764171046,nisha.mehta@example.com,2026-05-15,LOW,ACTIVE,,0,2021-07-18 00:00:00,
12,OUT00012,Metro Mart,,GT,KIRANA,Patna,Bihar,4,201880,19.931147,70.998884,140,39,2019-08-11,401000.0,21,02ABCDE3360F1Z5,AMBIENT,0,11209,Ritu Menon,9292915910,ritu.menon@example.com,2026-01-06,LOW,ACTIVE,,0,2019-08-11 00:00:00,
13,OUT00013,New Stores,,GT,KIRANA,Nagpur,Maharashtra,5,195289,23.020464,73.362808,33,52,2020-09-17,61000.0,45,06ABCDE9485F1Z4,AMBIENT,1,7457,Divya Khan,9377504162,divya.khan@example.com,2025-08-20,LOW,ACTIVE,,0,2020-09-17 00:00:00,
